uid,Net Score
1,-251
4,260
2,56
3,-65
15,169
23,321
27,-348
83,-142
59,-444
44,130
25,555
41,-241
74,-298
58,340
94,-193
37,151
3,-292
98,-183
21,367
29,108
53,216
18,-13
98,-310
11,107
42,-90
96,274
17,53
15,-237
22,422
25,-438
23,165
7,-149
49,94
82,281
56,-120
38,-255
21,110
53,486
69,-497
4,-99
20,271
48,-30
79,103
21,-344
97,338
25,-314
84,64
90,-88
69,-19
15,120
60,249
16,-350
99,-348
60,-35
88,312
59,71
40,420
12,-26
39,91
27,-485
95,-49
75,133
97,385
15,-469
71,-300
20,-84
94,62
62,322
85,310
67,-56
69,-430
18,176
30,30
33,-87
50,-242
53,299
4,-321
23,257
95,111
37,-47
77,-293
10,-89
60,360
51,22
91,207
3,50
98,-620
54,363
1,354
69,88
89,-272
6,-170
54,191
10,-508
36,453
86,-136
71,-230
10,338
96,9
3,-117
23,-255
40,19
44,327
60,-91
51,-421
49,382
23,-153
77,192
36,69
45,585
13,-456
46,-198
62,109
45,-263
25,289
95,-135
31,582
82,-678
62,204
84,-108
95,-98
37,-251
10,280
41,69
60,-442
8,92
7,406
43,-56
16,747
50,-390
87,-263
14,-94
51,-1
40,118
76,247
2,-364
1,-88
83,222
66,499
97,-633
63,30
2,-172
13,443
46,-301
4,-156
41,66
56,358
21,-268
10,121
54,268
97,3
13,-320
13,-491
87,275
92,409
99,-193
92,-364
12,493
93,-140
96,11
97,-67
73,240
22,86
91,-259
50,-231
13,-122
66,40
81,313
18,-79
3,-382
55,82
14,217
44,120
19,341
52,-120
64,-341
15,-425
22,-232
37,-65
4,722
81,-343
66,296
74,106
68,-59
7,-30
18,-306
31,97
60,239
4,-301
41,138
94,349
19,-186
82,419
77,219
39,-396
66,-242
50,-120
31,109
23,415
21,-404
1,149
4,-278
46,252
85,-123
69,-16
46,487
9,-154
67,-317
19,35
2,349
74,-101
51,-283
15,10
90,305
76,-216
54,-99
32,378
51,-340
2,-70
67,32
61,16
39,380
66,-299
63,-97
24,-325
87,-31
56,261
100,95
46,-258
12,-72
51,112
79,218
50,70
99,-78
35,-290
8,298
100,84
40,-91
67,-245
56,252
49,200
67,-350
78,-171
